Epoch 1/150, Train Loss: 0.082923, Train MSE: 0.021438, Val Loss: 0.053618, Val MSE: 0.012832, PSNR: 18.9625, SSIM: 0.4466
Epoch 15/150, Train Loss: 0.047339, Train MSE: 0.014274, Val Loss: 0.047232, Val MSE: 0.014229, PSNR: 18.4681, SSIM: 0.6154
Epoch 16/150, Train Loss: 0.047098, Train MSE: 0.014194, Val Loss: 0.046974, Val MSE: 0.014145, PSNR: 18.4939, SSIM: 0.6170
Epoch 17/150, Train Loss: 0.046857, Train MSE: 0.014081, Val Loss: 0.046658, Val MSE: 0.014014, PSNR: 18.5344, SSIM: 0.6177
Epoch 18/150, Train Loss: 0.046460, Train MSE: 0.013888, Val Loss: 0.046124, Val MSE: 0.013782, PSNR: 18.6069, SSIM: 0.6188
Epoch 19/150, Train Loss: 0.045565, Train MSE: 0.013530, Val Loss: 0.044395, Val MSE: 0.013044, PSNR: 18.8460, SSIM: 0.6230
Epoch 20/150, Train Loss: 0.042076, Train MSE: 0.011539, Val Loss: 0.040364, Val MSE: 0.010505, PSNR: 19.7859, SSIM: 0.6180
Epoch 21/150, Train Loss: 0.039585, Train MSE: 0.010668, Val Loss: 0.038646, Val MSE: 0.010518, PSNR: 19.7807, SSIM: 0.6575
Epoch 22/150, Train Loss: 0.037863, Train MSE: 0.009964, Val Loss: 0.036911, Val MSE: 0.009432, PSNR: 20.2539, SSIM: 0.6665
Epoch 23/150, Train Loss: 0.036745, Train MSE: 0.009340, Val Loss: 0.036512, Val MSE: 0.009625, PSNR: 20.1662, SSIM: 0.6755
Epoch 24/150, Train Loss: 0.036613, Train MSE: 0.009295, Val Loss: 0.036282, Val MSE: 0.008827, PSNR: 20.5420, SSIM: 0.6781
Epoch 25/150, Train Loss: 0.036059, Train MSE: 0.009089, Val Loss: 0.035738, Val MSE: 0.009170, PSNR: 20.3766, SSIM: 0.6796
Epoch 26/150, Train Loss: 0.035523, Train MSE: 0.008897, Val Loss: 0.035246, Val MSE: 0.008575, PSNR: 20.6677, SSIM: 0.6851
Epoch 27/150, Train Loss: 0.036920, Train MSE: 0.009279, Val Loss: 0.038165, Val MSE: 0.007960, PSNR: 20.9908, SSIM: 0.6596
Epoch 28/150, Train Loss: 0.035993, Train MSE: 0.008906, Val Loss: 0.035833, Val MSE: 0.009034, PSNR: 20.4410, SSIM: 0.6816
Epoch 29/150, Train Loss: 0.034455, Train MSE: 0.008411, Val Loss: 0.033360, Val MSE: 0.008140, PSNR: 20.8936, SSIM: 0.6934
Epoch 30/150, Train Loss: 0.032509, Train MSE: 0.007556, Val Loss: 0.031833, Val MSE: 0.007229, PSNR: 21.4095, SSIM: 0.7057
Epoch 31/150, Train Loss: 0.032385, Train MSE: 0.007415, Val Loss: 0.031264, Val MSE: 0.006738, PSNR: 21.7147, SSIM: 0.7166
Epoch 32/150, Train Loss: 0.035553, Train MSE: 0.008809, Val Loss: 0.044983, Val MSE: 0.013814, PSNR: 18.5968, SSIM: 0.6478
Epoch 33/150, Train Loss: 0.039157, Train MSE: 0.009874, Val Loss: 0.034820, Val MSE: 0.006934, PSNR: 21.5913, SSIM: 0.6779
Epoch 34/150, Train Loss: 0.033428, Train MSE: 0.007703, Val Loss: 0.032824, Val MSE: 0.008264, PSNR: 20.8285, SSIM: 0.6954
Epoch 35/150, Train Loss: 0.031527, Train MSE: 0.007101, Val Loss: 0.030773, Val MSE: 0.006734, PSNR: 21.7171, SSIM: 0.7205
Epoch 36/150, Train Loss: 0.030567, Train MSE: 0.006730, Val Loss: 0.030010, Val MSE: 0.006455, PSNR: 21.9011, SSIM: 0.7305
Epoch 37/150, Train Loss: 0.029928, Train MSE: 0.006515, Val Loss: 0.029410, Val MSE: 0.006149, PSNR: 22.1123, SSIM: 0.7415
Epoch 38/150, Train Loss: 0.030106, Train MSE: 0.006501, Val Loss: 0.030008, Val MSE: 0.006536, PSNR: 21.8469, SSIM: 0.7312
Epoch 39/150, Train Loss: 0.029903, Train MSE: 0.006528, Val Loss: 0.029406, Val MSE: 0.006382, PSNR: 21.9503, SSIM: 0.7419
Epoch 40/150, Train Loss: 0.029093, Train MSE: 0.006187, Val Loss: 0.028628, Val MSE: 0.006081, PSNR: 22.1601, SSIM: 0.7484
Epoch 41/150, Train Loss: 0.028832, Train MSE: 0.006103, Val Loss: 0.028398, Val MSE: 0.005765, PSNR: 22.3922, SSIM: 0.7558
Epoch 42/150, Train Loss: 0.028751, Train MSE: 0.006050, Val Loss: 0.028120, Val MSE: 0.005970, PSNR: 22.2404, SSIM: 0.7544
Epoch 43/150, Train Loss: 0.028376, Train MSE: 0.005924, Val Loss: 0.028339, Val MSE: 0.006163, PSNR: 22.1025, SSIM: 0.7490
Epoch 44/150, Train Loss: 0.027880, Train MSE: 0.005801, Val Loss: 0.030226, Val MSE: 0.005228, PSNR: 22.8168, SSIM: 0.7752
Epoch 45/150, Train Loss: 0.034676, Train MSE: 0.008639, Val Loss: 0.033681, Val MSE: 0.008241, PSNR: 20.8402, SSIM: 0.6983
Epoch 46/150, Train Loss: 0.035088, Train MSE: 0.008159, Val Loss: 0.031796, Val MSE: 0.007026, PSNR: 21.5333, SSIM: 0.7022
Epoch 47/150, Train Loss: 0.031025, Train MSE: 0.006773, Val Loss: 0.029842, Val MSE: 0.006564, PSNR: 21.8281, SSIM: 0.7281
Epoch 48/150, Train Loss: 0.029471, Train MSE: 0.006375, Val Loss: 0.028927, Val MSE: 0.005999, PSNR: 22.2192, SSIM: 0.7485
Epoch 49/150, Train Loss: 0.028609, Train MSE: 0.006078, Val Loss: 0.028399, Val MSE: 0.006163, PSNR: 22.1022, SSIM: 0.7529
Epoch 50/150, Train Loss: 0.027986, Train MSE: 0.005826, Val Loss: 0.027570, Val MSE: 0.005716, PSNR: 22.4293, SSIM: 0.7656
Epoch 51/150, Train Loss: 0.028072, Train MSE: 0.005853, Val Loss: 0.027998, Val MSE: 0.005429, PSNR: 22.6525, SSIM: 0.7708
Epoch 52/150, Train Loss: 0.028774, Train MSE: 0.006055, Val Loss: 0.028230, Val MSE: 0.005846, PSNR: 22.3316, SSIM: 0.7553
Epoch 53/150, Train Loss: 0.028184, Train MSE: 0.005814, Val Loss: 0.028483, Val MSE: 0.006484, PSNR: 21.8816, SSIM: 0.7551
Epoch 54/150, Train Loss: 0.028625, Train MSE: 0.006022, Val Loss: 0.028336, Val MSE: 0.006285, PSNR: 22.0170, SSIM: 0.7508
Epoch 55/150, Train Loss: 0.027689, Train MSE: 0.005674, Val Loss: 0.026976, Val MSE: 0.005609, PSNR: 22.5110, SSIM: 0.7727
Epoch 56/150, Train Loss: 0.027228, Train MSE: 0.005507, Val Loss: 0.026542, Val MSE: 0.005455, PSNR: 22.6321, SSIM: 0.7803
Epoch 57/150, Train Loss: 0.026640, Train MSE: 0.005317, Val Loss: 0.026004, Val MSE: 0.005174, PSNR: 22.8621, SSIM: 0.7922
Epoch 58/150, Train Loss: 0.025803, Train MSE: 0.005050, Val Loss: 0.025754, Val MSE: 0.004715, PSNR: 23.2647, SSIM: 0.8059
Epoch 59/150, Train Loss: 0.025685, Train MSE: 0.004959, Val Loss: 0.026875, Val MSE: 0.004700, PSNR: 23.2786, SSIM: 0.8073
Epoch 60/150, Train Loss: 0.025736, Train MSE: 0.004932, Val Loss: 0.024162, Val MSE: 0.004608, PSNR: 23.3652, SSIM: 0.8187
Epoch 61/150, Train Loss: 0.025219, Train MSE: 0.004754, Val Loss: 0.023509, Val MSE: 0.004302, PSNR: 23.6638, SSIM: 0.8313
Epoch 62/150, Train Loss: 0.025290, Train MSE: 0.004714, Val Loss: 0.026003, Val MSE: 0.004809, PSNR: 23.1795, SSIM: 0.8083
Epoch 63/150, Train Loss: 0.024610, Train MSE: 0.004511, Val Loss: 0.023641, Val MSE: 0.004008, PSNR: 23.9707, SSIM: 0.8350
Epoch 64/150, Train Loss: 0.023419, Train MSE: 0.004119, Val Loss: 0.024428, Val MSE: 0.004503, PSNR: 23.4655, SSIM: 0.8165
Epoch 65/150, Train Loss: 0.024313, Train MSE: 0.004334, Val Loss: 0.022808, Val MSE: 0.004006, PSNR: 23.9727, SSIM: 0.8377
Epoch 66/150, Train Loss: 0.023455, Train MSE: 0.004081, Val Loss: 0.022335, Val MSE: 0.003894, PSNR: 24.0959, SSIM: 0.8445
Epoch 67/150, Train Loss: 0.022766, Train MSE: 0.003892, Val Loss: 0.022422, Val MSE: 0.003732, PSNR: 24.2804, SSIM: 0.8471
Epoch 68/150, Train Loss: 0.022496, Train MSE: 0.003776, Val Loss: 0.022149, Val MSE: 0.003813, PSNR: 24.1872, SSIM: 0.8504
Epoch 69/150, Train Loss: 0.026084, Train MSE: 0.004903, Val Loss: 0.030436, Val MSE: 0.006723, PSNR: 21.7246, SSIM: 0.7514
Epoch 70/150, Train Loss: 0.026116, Train MSE: 0.004901, Val Loss: 0.023428, Val MSE: 0.003993, PSNR: 23.9871, SSIM: 0.8351
Epoch 71/150, Train Loss: 0.022989, Train MSE: 0.003854, Val Loss: 0.021903, Val MSE: 0.003461, PSNR: 24.6084, SSIM: 0.8524
Epoch 72/150, Train Loss: 0.021842, Train MSE: 0.003488, Val Loss: 0.021289, Val MSE: 0.003292, PSNR: 24.8257, SSIM: 0.8572
Epoch 73/150, Train Loss: 0.022697, Train MSE: 0.003822, Val Loss: 0.023918, Val MSE: 0.003593, PSNR: 24.4459, SSIM: 0.8471
Epoch 74/150, Train Loss: 0.025315, Train MSE: 0.004539, Val Loss: 0.025451, Val MSE: 0.004951, PSNR: 23.0532, SSIM: 0.8145
Epoch 75/150, Train Loss: 0.023740, Train MSE: 0.004190, Val Loss: 0.022077, Val MSE: 0.003744, PSNR: 24.2666, SSIM: 0.8509
Epoch 76/150, Train Loss: 0.022244, Train MSE: 0.003622, Val Loss: 0.021306, Val MSE: 0.003767, PSNR: 24.2402, SSIM: 0.8584
Epoch 77/150, Train Loss: 0.022446, Train MSE: 0.003691, Val Loss: 0.020521, Val MSE: 0.003073, PSNR: 25.1251, SSIM: 0.8734
Epoch 78/150, Train Loss: 0.020691, Train MSE: 0.003154, Val Loss: 0.020643, Val MSE: 0.003106, PSNR: 25.0777, SSIM: 0.8680
Epoch 79/150, Train Loss: 0.020731, Train MSE: 0.003154, Val Loss: 0.021992, Val MSE: 0.003283, PSNR: 24.8377, SSIM: 0.8627
Epoch 80/150, Train Loss: 0.020300, Train MSE: 0.003022, Val Loss: 0.019266, Val MSE: 0.002898, PSNR: 25.3795, SSIM: 0.8838
Epoch 81/150, Train Loss: 0.019404, Train MSE: 0.002812, Val Loss: 0.018898, Val MSE: 0.002725, PSNR: 25.6458, SSIM: 0.8896
Epoch 82/150, Train Loss: 0.019265, Train MSE: 0.002758, Val Loss: 0.019124, Val MSE: 0.002553, PSNR: 25.9296, SSIM: 0.8956
Epoch 83/150, Train Loss: 0.019987, Train MSE: 0.002918, Val Loss: 0.019389, Val MSE: 0.002728, PSNR: 25.6416, SSIM: 0.8846
Epoch 84/150, Train Loss: 0.020744, Train MSE: 0.003112, Val Loss: 0.020118, Val MSE: 0.003191, PSNR: 24.9610, SSIM: 0.8741
Epoch 85/150, Train Loss: 0.019718, Train MSE: 0.002807, Val Loss: 0.018600, Val MSE: 0.002452, PSNR: 26.1049, SSIM: 0.8979
Epoch 86/150, Train Loss: 0.020441, Train MSE: 0.003056, Val Loss: 0.019606, Val MSE: 0.002688, PSNR: 25.7067, SSIM: 0.8914
Epoch 87/150, Train Loss: 0.019662, Train MSE: 0.002876, Val Loss: 0.018569, Val MSE: 0.002609, PSNR: 25.8346, SSIM: 0.8955
Epoch 88/150, Train Loss: 0.018602, Train MSE: 0.002576, Val Loss: 0.017847, Val MSE: 0.002386, PSNR: 26.2239, SSIM: 0.9025
Epoch 89/150, Train Loss: 0.017839, Train MSE: 0.002391, Val Loss: 0.017416, Val MSE: 0.002225, PSNR: 26.5267, SSIM: 0.9073
Epoch 90/150, Train Loss: 0.017589, Train MSE: 0.002282, Val Loss: 0.016951, Val MSE: 0.002164, PSNR: 26.6468, SSIM: 0.9107
Epoch 91/150, Train Loss: 0.018639, Train MSE: 0.002542, Val Loss: 0.017760, Val MSE: 0.002306, PSNR: 26.3712, SSIM: 0.9068
Epoch 92/150, Train Loss: 0.018786, Train MSE: 0.002598, Val Loss: 0.017956, Val MSE: 0.002497, PSNR: 26.0251, SSIM: 0.9014
Epoch 93/150, Train Loss: 0.018342, Train MSE: 0.002450, Val Loss: 0.017998, Val MSE: 0.002299, PSNR: 26.3845, SSIM: 0.9033
Epoch 94/150, Train Loss: 0.017291, Train MSE: 0.002193, Val Loss: 0.017370, Val MSE: 0.002291, PSNR: 26.3994, SSIM: 0.9061
Epoch 95/150, Train Loss: 0.017093, Train MSE: 0.002146, Val Loss: 0.016473, Val MSE: 0.002030, PSNR: 26.9262, SSIM: 0.9154
Epoch 96/150, Train Loss: 0.017230, Train MSE: 0.002160, Val Loss: 0.016821, Val MSE: 0.002000, PSNR: 26.9908, SSIM: 0.9181
Epoch 97/150, Train Loss: 0.017577, Train MSE: 0.002243, Val Loss: 0.018306, Val MSE: 0.002647, PSNR: 25.7725, SSIM: 0.9009
Epoch 98/150, Train Loss: 0.019067, Train MSE: 0.002635, Val Loss: 0.018464, Val MSE: 0.002433, PSNR: 26.1380, SSIM: 0.8967
Epoch 99/150, Train Loss: 0.017582, Train MSE: 0.002252, Val Loss: 0.017461, Val MSE: 0.002102, PSNR: 26.7729, SSIM: 0.9120
Epoch 100/150, Train Loss: 0.016490, Train MSE: 0.001964, Val Loss: 0.015772, Val MSE: 0.001809, PSNR: 27.4261, SSIM: 0.9231
Epoch 101/150, Train Loss: 0.016731, Train MSE: 0.002021, Val Loss: 0.015787, Val MSE: 0.001855, PSNR: 27.3184, SSIM: 0.9225
Epoch 102/150, Train Loss: 0.017837, Train MSE: 0.002274, Val Loss: 0.019764, Val MSE: 0.002802, PSNR: 25.5262, SSIM: 0.8733
Epoch 103/150, Train Loss: 0.019404, Train MSE: 0.002768, Val Loss: 0.018415, Val MSE: 0.002395, PSNR: 26.2079, SSIM: 0.9029
Epoch 104/150, Train Loss: 0.017226, Train MSE: 0.002158, Val Loss: 0.017966, Val MSE: 0.002561, PSNR: 25.9167, SSIM: 0.9027
Epoch 105/150, Train Loss: 0.016832, Train MSE: 0.002041, Val Loss: 0.015631, Val MSE: 0.001798, PSNR: 27.4523, SSIM: 0.9233
Epoch 106/150, Train Loss: 0.015793, Train MSE: 0.001803, Val Loss: 0.014963, Val MSE: 0.001631, PSNR: 27.8758, SSIM: 0.9291
Epoch 107/150, Train Loss: 0.015018, Train MSE: 0.001613, Val Loss: 0.014978, Val MSE: 0.001642, PSNR: 27.8463, SSIM: 0.9283
Epoch 108/150, Train Loss: 0.015097, Train MSE: 0.001625, Val Loss: 0.014999, Val MSE: 0.001585, PSNR: 27.9999, SSIM: 0.9290
Epoch 109/150, Train Loss: 0.015353, Train MSE: 0.001679, Val Loss: 0.015712, Val MSE: 0.001732, PSNR: 27.6160, SSIM: 0.9275
Epoch 110/150, Train Loss: 0.015296, Train MSE: 0.001647, Val Loss: 0.014303, Val MSE: 0.001464, PSNR: 28.3452, SSIM: 0.9342
Epoch 111/150, Train Loss: 0.016404, Train MSE: 0.001908, Val Loss: 0.015599, Val MSE: 0.001647, PSNR: 27.8340, SSIM: 0.9260
Epoch 112/150, Train Loss: 0.016413, Train MSE: 0.001901, Val Loss: 0.015225, Val MSE: 0.001581, PSNR: 28.0109, SSIM: 0.9309
Epoch 113/150, Train Loss: 0.015268, Train MSE: 0.001649, Val Loss: 0.014769, Val MSE: 0.001567, PSNR: 28.0496, SSIM: 0.9322
Epoch 114/150, Train Loss: 0.014636, Train MSE: 0.001507, Val Loss: 0.014795, Val MSE: 0.001526, PSNR: 28.1657, SSIM: 0.9341
Epoch 115/150, Train Loss: 0.014683, Train MSE: 0.001499, Val Loss: 0.013830, Val MSE: 0.001268, PSNR: 28.9697, SSIM: 0.9409
Epoch 116/150, Train Loss: 0.015280, Train MSE: 0.001628, Val Loss: 0.014383, Val MSE: 0.001446, PSNR: 28.4008, SSIM: 0.9350
Epoch 117/150, Train Loss: 0.015063, Train MSE: 0.001586, Val Loss: 0.015135, Val MSE: 0.001521, PSNR: 28.1797, SSIM: 0.9324
Epoch 118/150, Train Loss: 0.015641, Train MSE: 0.001674, Val Loss: 0.015243, Val MSE: 0.001607, PSNR: 27.9400, SSIM: 0.9211
Epoch 119/150, Train Loss: 0.014686, Train MSE: 0.001503, Val Loss: 0.015744, Val MSE: 0.001469, PSNR: 28.3316, SSIM: 0.9363
Epoch 120/150, Train Loss: 0.014252, Train MSE: 0.001397, Val Loss: 0.013622, Val MSE: 0.001309, PSNR: 28.8302, SSIM: 0.9396
Epoch 121/150, Train Loss: 0.013961, Train MSE: 0.001341, Val Loss: 0.013564, Val MSE: 0.001202, PSNR: 29.2011, SSIM: 0.9429
Epoch 122/150, Train Loss: 0.015732, Train MSE: 0.001669, Val Loss: 0.016123, Val MSE: 0.001985, PSNR: 27.0230, SSIM: 0.9173
Epoch 123/150, Train Loss: 0.016496, Train MSE: 0.001931, Val Loss: 0.016059, Val MSE: 0.001765, PSNR: 27.5333, SSIM: 0.9259
Epoch 124/150, Train Loss: 0.014993, Train MSE: 0.001565, Val Loss: 0.015682, Val MSE: 0.001864, PSNR: 27.2949, SSIM: 0.9215
Epoch 125/150, Train Loss: 0.014540, Train MSE: 0.001467, Val Loss: 0.013655, Val MSE: 0.001269, PSNR: 28.9671, SSIM: 0.9400
Epoch 126/150, Train Loss: 0.013960, Train MSE: 0.001331, Val Loss: 0.013413, Val MSE: 0.001223, PSNR: 29.1242, SSIM: 0.9417
Epoch 127/150, Train Loss: 0.013410, Train MSE: 0.001219, Val Loss: 0.013386, Val MSE: 0.001165, PSNR: 29.3364, SSIM: 0.9430
Epoch 128/150, Train Loss: 0.013750, Train MSE: 0.001281, Val Loss: 0.016406, Val MSE: 0.001441, PSNR: 28.4146, SSIM: 0.9334
Epoch 129/150, Train Loss: 0.015603, Train MSE: 0.001656, Val Loss: 0.015133, Val MSE: 0.001601, PSNR: 27.9571, SSIM: 0.9339
Epoch 130/150, Train Loss: 0.015456, Train MSE: 0.001644, Val Loss: 0.014160, Val MSE: 0.001334, PSNR: 28.7470, SSIM: 0.9378
Epoch 131/150, Train Loss: 0.014453, Train MSE: 0.001449, Val Loss: 0.013652, Val MSE: 0.001202, PSNR: 29.2027, SSIM: 0.9436
Epoch 132/150, Train Loss: 0.014051, Train MSE: 0.001319, Val Loss: 0.014050, Val MSE: 0.001267, PSNR: 28.9706, SSIM: 0.9396
Epoch 133/150, Train Loss: 0.013754, Train MSE: 0.001268, Val Loss: 0.013169, Val MSE: 0.001111, PSNR: 29.5442, SSIM: 0.9458
Epoch 134/150, Train Loss: 0.013389, Train MSE: 0.001176, Val Loss: 0.014829, Val MSE: 0.001377, PSNR: 28.6096, SSIM: 0.9364
Epoch 135/150, Train Loss: 0.013660, Train MSE: 0.001227, Val Loss: 0.012818, Val MSE: 0.001026, PSNR: 29.8872, SSIM: 0.9472
Epoch 136/150, Train Loss: 0.013783, Train MSE: 0.001256, Val Loss: 0.013187, Val MSE: 0.001094, PSNR: 29.6093, SSIM: 0.9461
Epoch 137/150, Train Loss: 0.014443, Train MSE: 0.001386, Val Loss: 0.013803, Val MSE: 0.001345, PSNR: 28.7127, SSIM: 0.9384
Epoch 138/150, Train Loss: 0.014012, Train MSE: 0.001301, Val Loss: 0.013978, Val MSE: 0.001256, PSNR: 29.0097, SSIM: 0.9362
Epoch 139/150, Train Loss: 0.013854, Train MSE: 0.001288, Val Loss: 0.015523, Val MSE: 0.001417, PSNR: 28.4875, SSIM: 0.9314
Epoch 140/150, Train Loss: 0.013869, Train MSE: 0.001282, Val Loss: 0.012729, Val MSE: 0.001109, PSNR: 29.5525, SSIM: 0.9466
Epoch 141/150, Train Loss: 0.014666, Train MSE: 0.001414, Val Loss: 0.013339, Val MSE: 0.001223, PSNR: 29.1262, SSIM: 0.9427
Epoch 142/150, Train Loss: 0.013296, Train MSE: 0.001157, Val Loss: 0.013269, Val MSE: 0.001209, PSNR: 29.1740, SSIM: 0.9425
Epoch 143/150, Train Loss: 0.013777, Train MSE: 0.001251, Val Loss: 0.013734, Val MSE: 0.001314, PSNR: 28.8153, SSIM: 0.9392
Epoch 144/150, Train Loss: 0.013160, Train MSE: 0.001151, Val Loss: 0.013035, Val MSE: 0.001083, PSNR: 29.6521, SSIM: 0.9476
Epoch 145/150, Train Loss: 0.012867, Train MSE: 0.001083, Val Loss: 0.011957, Val MSE: 0.000923, PSNR: 30.3489, SSIM: 0.9523
Epoch 146/150, Train Loss: 0.013357, Train MSE: 0.001182, Val Loss: 0.012674, Val MSE: 0.001051, PSNR: 29.7829, SSIM: 0.9471
Epoch 147/150, Train Loss: 0.012885, Train MSE: 0.001077, Val Loss: 0.012494, Val MSE: 0.000996, PSNR: 30.0183, SSIM: 0.9474
Epoch 148/150, Train Loss: 0.012682, Train MSE: 0.001040, Val Loss: 0.014911, Val MSE: 0.001164, PSNR: 29.3413, SSIM: 0.9400
Epoch 149/150, Train Loss: 0.013803, Train MSE: 0.001202, Val Loss: 0.015300, Val MSE: 0.001402, PSNR: 28.5332, SSIM: 0.9321
Epoch 150/150, Train Loss: 0.013484, Train MSE: 0.001140, Val Loss: 0.012333, Val MSE: 0.000948, PSNR: 30.2363, SSIM: 0.9495
